,Year released,Rating,ratings,author_name,title
199,2016,4.1,164083,Sarah MacLean,One True Loves
291,2012,4.24,163696,Colleen Hoover,Point of Retreat
275,2014,3.54,161979,Rainbow Rowell,Landline
170,2013,3.94,161031,Penelope Douglas,Bully
134,2015,4.07,160644,Renée Ahdieh,The Wrath and the Dawn
143,2011,3.92,160612,Stephanie Perkins,Lola and the Boy Next Door
211,2021,3.78,156928,Ana Huang,Twisted Love
157,2018,4.0,155589,Penelope Douglas,Birthday Girl
39,2021,4.01,154210,Casey McQuiston,One Last Stop
266,2007,4.13,151672,Jeaniene Frost,Halfway to the Grave
232,2012,3.98,147935,Huntley Fitzpatrick,My Life Next Door
264,2012,4.22,146564,J.A. Redmerski,The Edge of Never
100,2018,4.34,144173,Mariana Zapata,From Lukov with Love
280,2018,4.08,143376,Danielle Lori,The Sweetest Oblivion
273,2019,3.85,142444,Scarlett St.  Clair,A Touch of Darkness
82,2003,3.76,140654,Julia Quinn,"To Sir Phillip, With Love"
286,2015,3.81,138238,Penelope Douglas,Corrupt
66,2021,4.04,136796,Christina Lauren,The Soulmate Equation
179,2009,4.12,134276,Nora Roberts,Vision in White
216,2016,3.98,132250,Elle Kennedy,The Goal
34,2019,3.87,131144,Helen Hoang,The Bride Test
281,2007,4.31,129500,J.R. Ward,Lover Unbound
186,2016,3.95,126593,Erin Watt,Paper Princess
62,2018,3.6,124943,Jasmine Guillory,The Wedding Date
237,2017,4.05,124688,Mackenzi Lee,The Gentleman's Guide to Vice and Virtue
105,2004,4.01,124412,Julia Quinn,When He Was Wicked
192,2018,3.86,121957,David Nicholls,What If It's Us
276,2012,4.05,121285,Katie McGarry,Pushing the Limits
241,2021,4.01,118844,Lauren Asher,The Fine Print
225,2014,4.01,113789,Stephanie Perkins,Isla and the Happily Ever After
263,2012,3.77,113752,Jennifer E. Smith,The Statistical Probability of Love at First Sight
146,2021,3.74,112532,Katee Robert,Neon Gods
250,2016,4.01,111719,L.J. Shen,Vicious
228,2011,4.03,111514,R.L. Mathewson,Playing for Keeps
145,2020,3.74,110076,Christina Lauren,In a Holidaze
223,2018,3.91,109987,Elle Kennedy,The Chase
249,2009,3.89,107608,Gail Carriger,Soulless
141,2005,4.01,105907,Julia Quinn,It's in His Kiss
293,2014,3.96,105328,Marie Rutkoski,The Winner's Curse
287,2016,4.16,102788,Tillie Cole,A Thousand Boy Kisses
233,2016,4.1,102568,Jenna Evans Welch,Love & Gelato
190,2018,3.49,100627,Jane Austen,The Proposal
278,2019,3.96,100491,Amal El-Mohtar,This is How You Lose the Time War
154,2015,4.31,95837,Mariana Zapata,Kulti
288,2020,3.99,95605,Beth O'Leary,The Switch
104,2019,3.65,93869,Tessa Bailey,Fix Her Up
132,2021,3.55,93853,Erin Sterling,The Ex Hex
218,2004,3.93,90477,Jennifer Crusie,Bet Me
172,2006,3.84,89776,Julia Quinn,On the Way to the Wedding
169,2019,3.9,88892,Abby Jimenez,The Friend Zone
137,2022,4.07,87537,Ali Hazelwood,Love on the Brain
214,2013,3.84,87419,Krista Ritchie,Addicted to You
274,2014,3.66,87119,Rosamund Hodge,Cruel Beauty
80,2021,4.01,82190,Helen Hoang,The Heart Principle
187,2020,3.91,81435,(Pseudonym),One to Watch
139,2020,4.09,81105,Alexis  Hall,Boyfriend Material
197,2021,4.09,78605,Gayle Forman,Seven Days in June
70,2019,3.91,77742,Lyssa Kay Adams,The Bromance Book Club
89,2020,3.95,77084,Sarah Hogle,You Deserve Each Other
117,2006,4.24,77013,Lisa Kleypas,Devil in Winter
159,2020,3.65,76613,Rosie Danan,The Roommate
50,2020,4.06,75803,Talia Hibbert,"Take a Hint, Dani Brown"
193,2018,4.33,72371,Becky Albertalli,The Simple Wild
284,2006,4.09,70446,Nalini Singh,Slave to Sensation
265,2021,4.35,70129,Mariana Zapata,All Rhodes Lead Here
158,2019,3.39,69346,Sally  Thorne,99 Percent Mine
227,2022,3.75,69278,Ali Hazelwood,Under One Roof
270,2020,4.17,68882,Abby Jimenez,The Happy Ever After Playlist
147,2004,4.03,67926,Lisa Kleypas,Secrets of a Summer Night
77,2021,4.16,64493,Talia Hibbert,"Act Your Age, Eve Brown"
95,2019,3.97,63015,Evie Dunmore,Bringing Down the Duke
230,2013,3.9,60932,Penny Reid,Neanderthal Seeks Human
184,2021,3.59,60023,Sally  Thorne,Second First Impressions
87,2019,3.85,58786,Jen DeLuca,Well Met
224,2017,3.82,58406,Christina Lauren,Roomies
164,2021,3.76,57761,Rachel Lynn Solomon,The Ex Talk
231,2020,3.84,53076,Mhairi McFarlane,If I Never Met You
235,2020,3.96,52886,Emma Lord,Tweet Cute
240,2017,3.69,52486,Sandhya Menon,When Dimple Met Rishi
247,2021,3.66,51696,Angie Hockman,Shipped
124,2017,4.0,48340,Tessa Dare,The Duchess Deal
258,2006,4.03,48206,Lisa Kleypas,Scandal in Spring
269,2015,3.91,46697,Penny Reid,Truth or Beard
177,2014,3.89,40861,Tessa Dare,Romancing the Duke
242,2012,3.93,40424,Sarah MacLean,A Rogue by Any Other Name
215,2020,3.7,32398,Alexis Daria,You Had Me at Hola
213,2020,3.91,31978,Alexandria Bellefleur,Written in the Stars
295,2018,3.91,27195,Tessa Dare,The Governess Game
294,2022,4.2,26876,Ashley Herring Blake,Delilah Green Doesn't Care
217,2012,3.82,26223,Courtney Milan,The Duchess War
268,2018,3.78,14602,Alyssa Cole,A Princess in Theory
